id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
226,2015,8,12,14,17,45,21.44,807.0,24.0,99.9,5.66,18.44,34.95
227,2015,8,12,14,17,47,21.5,804.0,24.0,99.9,5.7,18.44,34.94
228,2015,8,12,14,17,49,21.5,805.0,24.0,99.9,5.7,18.86,34.95
229,2015,8,12,14,17,51,21.5,808.0,24.0,99.9,5.66,18.44,35.22
230,2015,8,12,14,17,53,21.5,805.0,24.0,99.9,5.7,18.44,35.27
231,2015,8,12,14,17,55,21.44,807.0,24.0,99.9,5.75,18.44,34.94
232,2015,8,12,14,17,57,21.5,805.0,24.0,99.9,5.7,18.44,34.94
233,2015,8,12,14,17,59,21.44,807.0,24.0,99.9,5.66,18.44,34.95
234,2015,8,12,14,18,1,21.5,805.0,24.0,99.9,6.07,18.44,34.94
235,2015,8,12,14,18,3,21.5,804.0,24.0,99.9,5.7,18.44,34.95
236,2015,8,12,14,18,5,21.44,806.0,24.0,99.9,6.08,18.42,34.95
237,2015,8,12,14,18,7,21.5,806.0,24.0,99.9,6.07,18.44,34.95
238,2015,8,12,14,18,9,21.5,807.0,24.0,99.9,5.7,18.42,34.95
239,2015,8,12,14,18,11,21.44,805.0,24.0,99.9,5.7,18.44,34.94
240,2015,8,12,14,18,13,21.5,806.0,24.0,99.9,6.12,18.44,35.36
