id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
196,2015,8,12,14,16,45,21.5,808.0,24.0,99.9,5.38,18.39,34.95
197,2015,8,12,14,16,47,21.5,805.0,24.0,99.9,5.38,18.39,34.95
198,2015,8,12,14,16,49,21.5,805.0,24.0,99.9,5.8,18.81,34.94
199,2015,8,12,14,16,51,21.5,808.0,24.0,99.9,5.38,18.81,34.94
200,2015,8,12,14,16,53,21.5,807.0,24.0,99.9,5.38,18.86,34.94
201,2015,8,12,14,16,55,21.5,805.0,24.0,99.9,5.38,18.81,34.94
202,2015,8,12,14,16,57,21.5,808.0,24.0,99.9,5.75,18.84,34.95
203,2015,8,12,14,16,59,21.5,805.0,23.9,99.9,5.28,18.89,35.35
204,2015,8,12,14,17,1,21.5,805.0,24.0,99.9,5.77,18.84,35.36
205,2015,8,12,14,17,3,21.5,808.0,24.0,99.9,5.8,18.9,34.94
206,2015,8,12,14,17,5,21.5,807.0,24.0,99.9,5.8,18.86,34.95
207,2015,8,12,14,17,7,21.5,808.0,24.0,99.9,5.33,18.86,34.95
208,2015,8,12,14,17,9,21.5,807.0,24.0,99.9,5.75,18.81,35.36
209,2015,8,12,14,17,11,21.5,806.0,24.0,99.9,5.75,18.86,34.94
210,2015,8,12,14,17,13,21.5,806.0,24.0,99.9,5.8,18.81,35.36
