id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
61,2015,8,12,14,12,15,21.44,808.0,24.2,99.9,9.59,19.85,35.01
62,2015,8,12,14,12,17,21.37,808.0,24.2,99.9,9.49,20.24,34.64
63,2015,8,12,14,12,19,21.44,810.0,24.2,99.9,9.44,20.76,34.69
64,2015,8,12,14,12,21,21.44,810.0,24.1,99.9,9.29,19.9,34.73
65,2015,8,12,14,12,23,21.44,811.0,24.2,99.9,9.28,19.85,35.29
66,2015,8,12,14,12,25,21.37,809.0,24.2,99.9,9.17,21.06,35.34
67,2015,8,12,14,12,27,21.37,809.0,24.1,99.9,9.07,19.9,34.95
68,2015,8,12,14,12,29,21.37,812.0,24.1,99.9,9.01,19.81,35.44
69,2015,8,12,14,12,31,21.37,809.0,24.1,99.9,8.77,20.22,35.54
70,2015,8,12,14,12,33,21.37,809.0,24.1,99.9,8.66,19.81,35.16
71,2015,8,12,14,12,35,21.37,808.0,24.1,99.9,8.64,19.29,35.21
72,2015,8,12,14,12,37,21.37,810.0,24.1,99.9,8.5,19.66,35.28
73,2015,8,12,14,12,39,21.37,809.0,24.1,99.9,8.45,19.87,35.73
74,2015,8,12,14,12,41,21.44,809.0,24.1,99.9,8.38,18.6,35.31
75,2015,8,12,14,12,43,21.44,810.0,24.1,99.9,8.29,19.38,35.73
