id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
31,2015,8,12,14,11,15,21.44,810.0,24.3,99.9,11.88,20.12,32.91
32,2015,8,12,14,11,17,21.44,813.0,24.4,99.9,13.72,19.81,32.55
33,2015,8,12,14,11,19,21.44,810.0,24.3,99.9,12.72,20.23,32.59
34,2015,8,12,14,11,21,21.44,809.0,24.3,99.9,12.24,19.7,32.8
35,2015,8,12,14,11,23,21.44,810.0,24.3,99.9,12.12,19.66,32.86
36,2015,8,12,14,11,25,21.44,812.0,24.3,99.9,12.56,19.8,33.38
37,2015,8,12,14,11,27,21.44,810.0,24.3,99.9,12.03,20.09,33.45
38,2015,8,12,14,11,29,21.44,810.0,24.3,99.9,11.91,20.12,33.01
39,2015,8,12,14,11,31,21.44,811.0,24.3,99.9,11.86,19.7,33.49
40,2015,8,12,14,11,33,21.44,812.0,24.3,99.9,11.75,20.12,33.14
41,2015,8,12,14,11,35,21.44,811.0,24.3,99.9,11.6,20.14,33.61
42,2015,8,12,14,11,37,21.44,811.0,24.3,99.9,12.38,20.24,33.7
43,2015,8,12,14,11,39,21.44,811.0,24.3,99.9,11.44,20.14,33.29
44,2015,8,12,14,11,41,21.44,811.0,24.3,99.9,11.38,20.17,33.38
45,2015,8,12,14,11,43,21.44,811.0,24.3,99.9,11.24,20.14,33.51
