id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
346,2015,8,12,14,21,45,21.44,805.0,24.1,99.9,5.28,18.95,34.95
347,2015,8,12,14,21,47,21.44,805.0,24.1,99.9,5.24,18.95,34.96
348,2015,8,12,14,21,49,21.44,805.0,24.1,99.9,5.28,18.92,34.96
349,2015,8,12,14,21,51,21.44,805.0,24.0,99.9,4.93,18.95,35.36
350,2015,8,12,14,21,53,21.44,804.0,24.1,99.9,5.33,18.92,34.96
351,2015,8,12,14,21,55,21.44,805.0,24.0,99.9,5.38,18.91,34.95
352,2015,8,12,14,21,57,21.44,804.0,24.1,99.9,4.86,18.95,34.95
353,2015,8,12,14,21,59,21.44,805.0,24.1,99.9,5.24,18.92,35.37
354,2015,8,12,14,22,1,21.44,806.0,24.1,99.9,4.86,18.92,34.96
355,2015,8,12,14,22,3,21.44,804.0,24.1,99.9,4.82,18.92,34.95
356,2015,8,12,14,22,5,21.44,804.0,24.1,99.9,4.86,18.92,35.37
357,2015,8,12,14,22,7,21.44,805.0,24.1,99.9,4.86,18.92,34.96
358,2015,8,12,14,22,9,21.44,804.0,24.1,99.9,5.28,18.95,34.95
359,2015,8,12,14,22,11,21.44,804.0,24.1,99.9,4.82,18.92,34.95
360,2015,8,12,14,22,13,21.44,805.0,24.1,99.9,4.82,18.81,35.38
