id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
91,2015,8,12,14,13,15,21.44,808.0,24.0,99.9,7.01,18.74,35.46
92,2015,8,12,14,13,17,21.44,807.0,24.1,99.9,7.4,18.34,35.1
93,2015,8,12,14,13,19,21.44,802.0,24.0,99.9,7.38,18.34,35.04
94,2015,8,12,14,13,21,21.44,798.0,24.0,99.9,6.91,18.23,34.57
95,2015,8,12,14,13,23,21.44,798.0,24.0,99.9,6.77,18.34,36.01
96,2015,8,12,14,13,25,21.44,796.0,24.0,99.9,7.19,18.65,35.04
97,2015,8,12,14,13,27,21.37,797.0,24.0,99.9,6.71,18.81,35.06
98,2015,8,12,14,13,29,21.44,800.0,24.0,99.9,7.13,18.37,35.41
99,2015,8,12,14,13,31,21.37,794.0,24.0,99.9,7.12,18.84,35.85
100,2015,8,12,14,13,33,21.44,794.0,24.0,99.9,7.08,18.84,35.41
101,2015,8,12,14,13,35,21.44,796.0,24.0,99.9,7.03,18.76,35.48
102,2015,8,12,14,13,37,21.44,807.0,24.0,99.9,6.98,18.84,35.9
103,2015,8,12,14,13,39,21.44,807.0,24.0,99.9,6.59,18.37,35.41
104,2015,8,12,14,13,41,21.44,807.0,24.0,99.9,6.98,18.39,35.41
105,2015,8,12,14,13,43,21.44,808.0,24.0,99.9,6.5,18.39,34.57
