id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
151,2015,8,12,14,15,15,21.5,807.0,24.0,99.9,6.12,18.39,34.94
152,2015,8,12,14,15,17,21.5,807.0,24.0,99.9,6.49,18.27,34.99
153,2015,8,12,14,15,19,21.5,807.0,24.0,99.9,6.12,18.32,34.95
154,2015,8,12,14,15,21,21.5,807.0,24.0,99.9,6.45,18.39,34.52
155,2015,8,12,14,15,23,21.5,807.0,24.0,99.9,6.33,18.37,34.52
156,2015,8,12,14,15,25,21.5,807.0,24.0,99.9,6.33,18.39,34.53
157,2015,8,12,14,15,27,21.5,807.0,24.0,99.9,6.33,18.39,34.94
158,2015,8,12,14,15,29,21.5,807.0,24.0,99.9,6.35,18.37,34.94
159,2015,8,12,14,15,31,21.5,807.0,24.0,99.9,6.35,18.39,34.94
160,2015,8,12,14,15,33,21.5,806.0,24.0,99.9,6.29,18.42,34.52
161,2015,8,12,14,15,35,21.5,807.0,24.0,99.9,6.24,18.39,35.41
162,2015,8,12,14,15,37,21.5,807.0,24.0,99.9,6.35,18.39,34.52
163,2015,8,12,14,15,39,21.5,807.0,24.0,99.9,6.33,18.39,34.94
164,2015,8,12,14,15,41,21.5,807.0,24.0,99.9,5.87,18.39,34.95
165,2015,8,12,14,15,43,21.5,806.0,24.0,99.9,6.33,18.37,34.94
