id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
331,2015,8,12,14,21,15,21.44,805.0,24.1,99.9,5.3,18.81,34.95
332,2015,8,12,14,21,17,21.44,805.0,24.1,99.9,5.33,18.81,34.95
333,2015,8,12,14,21,19,21.44,805.0,24.0,99.9,5.24,18.91,34.94
334,2015,8,12,14,21,21,21.44,806.0,24.1,99.9,5.24,18.92,35.38
335,2015,8,12,14,21,23,21.44,805.0,24.1,99.9,5.14,18.95,34.95
336,2015,8,12,14,21,25,21.44,805.0,24.1,99.9,5.14,18.95,34.95
337,2015,8,12,14,21,27,21.44,805.0,24.0,99.9,5.24,18.95,34.95
338,2015,8,12,14,21,29,21.44,805.0,24.0,99.9,5.29,18.91,34.94
339,2015,8,12,14,21,31,21.44,805.0,24.1,99.9,5.19,18.92,34.95
340,2015,8,12,14,21,33,21.44,805.0,24.0,99.9,5.28,18.91,34.94
341,2015,8,12,14,21,35,21.44,805.0,24.0,99.9,5.33,18.91,34.94
342,2015,8,12,14,21,37,21.44,806.0,24.1,99.9,5.12,18.92,34.95
343,2015,8,12,14,21,39,21.44,805.0,24.1,99.9,5.14,18.92,34.95
344,2015,8,12,14,21,41,21.44,804.0,24.1,99.9,5.19,18.95,35.37
345,2015,8,12,14,21,43,21.44,804.0,24.1,99.9,5.24,18.92,35.38
