id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
286,2015,8,12,14,19,45,21.44,805.0,24.0,99.9,5.93,18.86,34.94
287,2015,8,12,14,19,47,21.44,804.0,24.0,99.9,5.49,18.86,34.95
288,2015,8,12,14,19,49,21.44,805.0,24.0,99.9,5.5,18.86,34.94
289,2015,8,12,14,19,51,21.44,805.0,24.0,99.9,5.49,18.86,34.83
290,2015,8,12,14,19,53,21.44,805.0,24.0,99.9,5.49,18.86,34.94
291,2015,8,12,14,19,55,21.44,807.0,24.0,99.9,5.96,18.86,34.94
292,2015,8,12,14,19,57,21.44,804.0,24.0,99.9,5.93,18.86,34.94
293,2015,8,12,14,19,59,21.44,805.0,24.0,99.9,5.49,18.86,34.94
294,2015,8,12,14,20,1,21.44,805.0,24.0,99.9,5.54,18.9,34.94
295,2015,8,12,14,20,3,21.44,805.0,24.0,99.9,5.91,18.86,35.38
296,2015,8,12,14,20,5,21.44,806.0,24.0,99.9,5.49,18.9,34.94
297,2015,8,12,14,20,7,21.44,805.0,24.0,99.9,5.45,18.9,34.94
298,2015,8,12,14,20,9,21.44,804.0,24.0,99.9,5.45,18.91,34.94
299,2015,8,12,14,20,11,21.44,805.0,24.0,99.9,5.49,18.74,34.94
300,2015,8,12,14,20,13,21.44,807.0,24.0,99.9,5.45,18.81,34.94
