id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
361,2015,8,12,14,22,15,21.44,806.0,24.1,99.9,5.28,18.8,35.38
362,2015,8,12,14,22,17,21.44,805.0,24.1,99.9,4.82,18.81,34.95
363,2015,8,12,14,22,19,21.44,805.0,24.1,99.9,5.28,18.9,34.95
364,2015,8,12,14,22,21,21.44,805.0,24.1,99.9,5.24,18.92,34.95
365,2015,8,12,14,22,23,21.44,804.0,24.1,99.9,5.14,18.95,34.96
366,2015,8,12,14,22,25,21.44,804.0,24.1,99.9,5.14,18.92,34.96
367,2015,8,12,14,22,27,21.44,805.0,24.1,99.9,5.17,18.92,35.37
368,2015,8,12,14,22,29,21.44,804.0,24.1,99.9,5.14,18.92,34.96
369,2015,8,12,14,22,31,21.44,805.0,24.1,99.9,4.75,18.95,34.96
370,2015,8,12,14,22,33,21.44,804.0,24.1,99.9,4.72,18.92,34.95
371,2015,8,12,14,22,35,21.44,804.0,24.1,99.9,5.14,18.92,34.96
372,2015,8,12,14,22,37,21.44,805.0,24.1,99.9,5.08,18.92,35.37
373,2015,8,12,14,22,39,21.44,804.0,24.1,99.9,5.14,18.92,35.38
374,2015,8,12,14,22,41,21.44,805.0,24.1,99.9,5.28,18.92,34.96
375,2015,8,12,14,22,43,21.44,803.0,24.1,99.9,5.28,18.92,34.95
