id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
1,2015,8,12,14,10,15,21.5,806.0,24.3,99.9,12.28,19.72,31.45
2,2015,8,12,14,10,17,21.44,808.0,24.3,99.9,13.54,19.75,31.45
3,2015,8,12,14,10,19,21.44,806.0,24.3,99.9,12.38,19.66,32.01
4,2015,8,12,14,10,21,21.44,808.0,24.3,99.9,12.4,19.61,32.01
5,2015,8,12,14,10,23,21.44,809.0,24.3,99.9,12.81,19.72,31.59
6,2015,8,12,14,10,25,21.44,806.0,24.3,99.9,12.38,19.61,31.59
7,2015,8,12,14,10,27,21.44,806.0,24.3,99.9,12.81,19.75,31.59
8,2015,8,12,14,10,29,21.44,809.0,24.4,99.9,12.81,19.65,31.5
9,2015,8,12,14,10,31,21.44,808.0,24.3,99.9,12.38,19.61,31.49
10,2015,8,12,14,10,33,21.5,806.0,24.3,99.9,12.77,19.72,31.49
11,2015,8,12,14,10,35,21.44,807.0,24.3,99.9,12.72,19.75,31.45
12,2015,8,12,14,10,37,21.44,807.0,24.3,99.9,13.12,19.75,31.87
13,2015,8,12,14,10,39,21.44,806.0,24.3,99.9,12.7,19.72,31.87
14,2015,8,12,14,10,41,21.44,807.0,24.3,99.9,11.81,19.65,31.49
15,2015,8,12,14,10,43,21.44,808.0,24.3,99.9,12.28,19.66,31.49
