id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
121,2015,8,12,14,14,15,21.44,808.0,24.0,99.9,6.8,18.39,35.41
122,2015,8,12,14,14,17,21.44,808.0,24.0,99.9,6.75,18.39,35.41
123,2015,8,12,14,14,19,21.44,806.0,24.0,99.9,6.75,18.28,35.41
124,2015,8,12,14,14,21,21.44,808.0,24.0,99.9,6.4,18.39,35.01
125,2015,8,12,14,14,23,21.44,808.0,24.0,99.9,6.61,18.37,34.99
126,2015,8,12,14,14,25,21.44,807.0,24.0,99.9,6.24,18.39,35.01
127,2015,8,12,14,14,27,21.44,808.0,24.0,99.9,6.59,18.39,35.01
128,2015,8,12,14,14,29,21.44,808.0,24.0,99.9,6.19,18.39,35.41
129,2015,8,12,14,14,31,21.5,807.0,23.9,99.9,6.19,18.38,35.4
130,2015,8,12,14,14,33,21.44,807.0,24.0,99.9,6.22,18.39,35.43
131,2015,8,12,14,14,35,21.44,806.0,24.0,99.9,6.14,18.39,35.43
132,2015,8,12,14,14,37,21.44,807.0,24.0,99.9,6.19,18.39,35.43
133,2015,8,12,14,14,39,21.44,807.0,24.0,99.9,6.14,18.37,35.43
134,2015,8,12,14,14,41,21.44,807.0,24.0,99.9,6.14,18.39,35.43
135,2015,8,12,14,14,43,21.44,808.0,24.0,99.9,6.08,18.39,35.41
