id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
46,2015,8,12,14,11,45,21.44,811.0,24.3,99.9,11.14,19.98,33.54
47,2015,8,12,14,11,47,21.44,812.0,24.3,99.9,11.07,20.03,33.59
48,2015,8,12,14,11,49,21.44,812.0,24.3,99.9,10.98,20.03,34.14
49,2015,8,12,14,11,51,21.44,810.0,24.3,99.9,10.96,20.07,33.75
50,2015,8,12,14,11,53,21.44,809.0,24.3,99.9,10.86,19.72,33.8
51,2015,8,12,14,11,55,21.44,810.0,24.3,99.9,10.75,20.14,34.33
52,2015,8,12,14,11,57,21.44,811.0,24.3,99.9,10.65,20.14,34.38
53,2015,8,12,14,11,59,21.44,810.0,24.2,99.9,10.54,19.82,34.01
54,2015,8,12,14,12,1,21.44,810.0,24.2,99.9,10.45,19.85,34.53
55,2015,8,12,14,12,3,21.44,811.0,24.2,99.9,10.44,20.27,34.18
56,2015,8,12,14,12,5,21.37,809.0,24.2,99.9,10.45,19.85,34.22
57,2015,8,12,14,12,7,21.37,809.0,24.2,99.9,9.91,19.85,34.29
58,2015,8,12,14,12,9,21.44,811.0,24.2,99.9,9.86,20.24,34.81
59,2015,8,12,14,12,11,21.44,809.0,24.2,99.9,10.22,19.82,34.43
60,2015,8,12,14,12,13,21.44,811.0,24.2,99.9,9.7,19.85,34.48
