id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
301,2015,8,12,14,20,15,21.44,805.0,24.0,99.9,5.49,18.76,34.94
302,2015,8,12,14,20,17,21.44,805.0,24.0,99.9,5.49,18.91,34.94
303,2015,8,12,14,20,19,21.44,806.0,24.0,99.9,5.38,18.91,34.94
304,2015,8,12,14,20,21,21.44,803.0,24.0,99.9,5.29,18.91,34.94
305,2015,8,12,14,20,23,21.44,803.0,24.0,99.9,5.35,18.86,34.94
306,2015,8,12,14,20,25,21.44,804.0,24.0,99.9,5.29,18.91,34.94
307,2015,8,12,14,20,27,21.44,806.0,24.0,99.9,5.29,18.95,34.94
308,2015,8,12,14,20,29,21.44,804.0,24.0,99.9,5.29,18.91,34.94
309,2015,8,12,14,20,31,21.44,805.0,24.0,99.9,5.35,18.86,34.95
310,2015,8,12,14,20,33,21.44,805.0,24.0,99.9,5.29,18.91,34.95
311,2015,8,12,14,20,35,21.44,804.0,24.0,99.9,5.35,18.91,34.95
312,2015,8,12,14,20,37,21.44,805.0,24.0,99.9,5.38,18.91,34.94
313,2015,8,12,14,20,39,21.44,805.0,24.0,99.9,5.43,18.91,34.94
314,2015,8,12,14,20,41,21.44,805.0,24.0,99.9,5.43,18.91,35.36
315,2015,8,12,14,20,43,21.44,805.0,24.0,99.9,5.43,18.91,34.94
