id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
16,2015,8,12,14,10,45,21.44,807.0,24.3,99.9,12.24,19.61,31.45
17,2015,8,12,14,10,47,21.44,806.0,24.3,99.9,13.09,19.75,31.45
18,2015,8,12,14,10,49,21.44,805.0,24.3,99.9,12.23,19.51,31.45
19,2015,8,12,14,10,51,21.44,807.0,24.3,99.9,11.81,19.51,32.44
20,2015,8,12,14,10,53,21.44,807.0,24.3,99.9,13.6,19.61,32.03
21,2015,8,12,14,10,55,21.44,807.0,24.3,99.9,12.65,19.61,32.17
22,2015,8,12,14,10,57,21.44,809.0,24.3,99.9,12.19,19.61,32.22
23,2015,8,12,14,10,59,21.44,809.0,24.3,99.9,12.23,19.61,31.82
24,2015,8,12,14,11,1,21.44,806.0,24.3,99.9,11.77,19.65,32.38
25,2015,8,12,14,11,3,21.44,807.0,24.3,99.9,11.81,19.61,32.44
26,2015,8,12,14,11,5,21.44,809.0,24.3,99.9,12.28,19.61,32.51
27,2015,8,12,14,11,7,21.44,809.0,24.3,99.9,12.23,19.61,32.17
28,2015,8,12,14,11,9,21.44,811.0,24.3,99.9,12.7,19.72,32.22
29,2015,8,12,14,11,11,21.44,810.0,24.3,99.9,12.23,19.19,32.75
30,2015,8,12,14,11,13,21.44,813.0,24.3,99.9,12.23,19.24,32.38
