id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
241,2015,8,12,14,18,15,21.44,804.0,24.0,99.9,6.07,18.32,35.38
242,2015,8,12,14,18,17,21.5,807.0,24.0,99.9,5.64,18.42,34.62
243,2015,8,12,14,18,19,21.44,804.0,24.0,99.9,5.7,18.44,34.94
244,2015,8,12,14,18,21,21.44,806.0,24.0,99.9,5.5,18.44,34.95
245,2015,8,12,14,18,23,21.5,804.0,24.0,99.9,5.96,18.44,34.94
246,2015,8,12,14,18,25,21.5,807.0,24.0,99.9,5.54,18.42,34.95
247,2015,8,12,14,18,27,21.5,806.0,24.0,99.9,5.93,18.44,34.94
248,2015,8,12,14,18,29,21.44,804.0,24.0,99.9,5.5,18.44,34.95
249,2015,8,12,14,18,31,21.44,807.0,24.0,99.9,5.5,18.44,34.94
250,2015,8,12,14,18,33,21.44,804.0,24.0,99.9,5.96,18.42,34.94
251,2015,8,12,14,18,35,21.5,807.0,24.0,99.9,5.93,18.44,34.94
252,2015,8,12,14,18,37,21.44,807.0,24.0,99.9,5.54,18.44,34.94
253,2015,8,12,14,18,39,21.44,807.0,24.0,99.9,5.96,18.44,34.94
254,2015,8,12,14,18,41,21.44,804.0,24.0,99.9,5.64,18.44,34.94
255,2015,8,12,14,18,43,21.44,804.0,24.0,99.9,6.07,18.42,34.94
