id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
211,2015,8,12,14,17,15,21.44,804.0,24.0,99.9,5.75,18.76,34.94
212,2015,8,12,14,17,17,21.5,807.0,24.0,99.9,5.75,18.76,34.94
213,2015,8,12,14,17,19,21.5,808.0,24.0,99.9,5.71,18.86,34.94
214,2015,8,12,14,17,21,21.5,806.0,24.0,99.9,5.22,18.81,34.94
215,2015,8,12,14,17,23,21.5,807.0,24.0,99.9,5.19,18.86,35.38
216,2015,8,12,14,17,25,21.5,807.0,23.9,99.9,5.64,18.75,35.35
217,2015,8,12,14,17,27,21.44,804.0,24.0,99.9,5.61,18.42,34.94
218,2015,8,12,14,17,29,21.5,807.0,24.0,99.9,5.98,18.86,35.36
219,2015,8,12,14,17,31,21.5,806.0,24.0,99.9,5.61,18.44,34.95
220,2015,8,12,14,17,33,21.44,807.0,24.0,99.9,5.56,18.44,34.94
221,2015,8,12,14,17,35,21.5,805.0,24.0,99.9,6.03,18.44,34.94
222,2015,8,12,14,17,37,21.5,805.0,24.0,99.9,5.56,18.42,34.94
223,2015,8,12,14,17,39,21.44,806.0,24.0,99.9,5.56,18.44,34.94
224,2015,8,12,14,17,41,21.5,806.0,24.0,99.9,5.75,18.42,34.95
225,2015,8,12,14,17,43,21.5,807.0,24.0,99.9,5.66,18.44,34.94
