id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
16,2015,8,12,13,59,42,21.12,808.0,24.8,99.9,5.02,20.42,33.54
17,2015,8,12,13,59,44,21.12,808.0,24.8,99.9,5.02,19.95,33.68
18,2015,8,12,13,59,46,21.12,807.0,24.8,99.9,5.02,19.95,33.74
19,2015,8,12,13,59,48,21.12,806.0,24.8,99.9,5.02,19.95,33.49
20,2015,8,12,13,59,50,21.12,809.0,24.8,99.9,4.99,19.95,33.6
21,2015,8,12,13,59,52,21.12,807.0,24.8,99.9,4.99,19.95,33.53
22,2015,8,12,13,59,54,21.12,810.0,24.8,99.9,5.02,20.37,33.95
23,2015,8,12,13,59,56,21.12,810.0,24.8,99.9,4.99,19.99,33.68
24,2015,8,12,13,59,58,21.12,810.0,24.8,99.9,5.02,20.37,33.6
25,2015,8,12,14,0,0,21.12,810.0,24.8,99.9,4.99,19.99,33.86
26,2015,8,12,14,0,2,21.06,811.0,24.8,99.9,5.02,20.37,33.79
27,2015,8,12,14,0,4,21.12,812.0,24.8,99.9,4.99,20.37,34.32
28,2015,8,12,14,0,6,21.12,813.0,24.8,99.9,4.99,20.88,33.95
29,2015,8,12,14,0,8,21.12,804.0,24.8,99.9,5.02,20.37,34.0
30,2015,8,12,14,0,10,21.12,810.0,24.8,99.9,5.02,20.27,34.53
