id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
151,2015,8,12,14,4,12,21.12,810.0,24.4,99.9,4.91,20.44,33.81
152,2015,8,12,14,4,14,21.12,810.0,24.4,99.9,4.72,20.44,31.71
153,2015,8,12,14,4,16,21.12,810.0,24.4,99.9,7.39,20.34,31.86
154,2015,8,12,14,4,18,21.12,810.0,24.4,99.9,5.44,20.25,31.39
155,2015,8,12,14,4,20,21.19,809.0,24.4,99.9,9.93,19.2,32.92
156,2015,8,12,14,4,22,21.19,810.0,24.4,99.9,8.86,19.25,32.35
157,2015,8,12,14,4,24,21.25,809.0,24.4,99.9,9.35,19.25,30.97
158,2015,8,12,14,4,26,21.25,811.0,24.4,99.9,11.76,19.2,30.92
159,2015,8,12,14,4,28,21.25,810.0,24.4,99.9,11.81,19.14,31.14
160,2015,8,12,14,4,30,21.25,810.0,24.4,99.9,12.62,19.14,31.07
161,2015,8,12,14,4,32,21.25,810.0,24.4,99.9,13.51,19.25,30.65
162,2015,8,12,14,4,34,21.31,810.0,24.4,99.9,13.55,19.25,30.3
163,2015,8,12,14,4,36,21.31,810.0,24.4,99.9,13.6,19.25,30.51
164,2015,8,12,14,4,38,21.37,810.0,24.4,99.9,13.39,19.28,30.14
165,2015,8,12,14,4,40,21.44,810.0,24.4,99.9,13.33,19.25,30.2
