id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
166,2015,8,12,14,4,42,21.37,810.0,24.4,99.9,13.76,19.25,30.28
167,2015,8,12,14,4,44,21.44,810.0,24.4,99.9,13.67,19.25,31.23
168,2015,8,12,14,4,46,21.44,810.0,24.4,99.9,13.76,19.25,30.14
169,2015,8,12,14,4,48,21.44,809.0,24.4,99.9,13.65,19.14,30.76
170,2015,8,12,14,4,50,21.44,810.0,24.4,99.9,13.7,19.14,30.78
171,2015,8,12,14,4,52,21.44,810.0,24.4,99.9,13.65,19.13,30.2
172,2015,8,12,14,4,54,21.44,810.0,24.4,99.9,13.7,19.28,30.3
173,2015,8,12,14,4,56,21.44,810.0,24.4,99.9,13.65,19.23,30.76
174,2015,8,12,14,4,58,21.44,809.0,24.4,99.9,13.65,19.25,30.76
175,2015,8,12,14,5,0,21.44,810.0,24.4,99.9,13.65,19.25,30.25
176,2015,8,12,14,5,2,21.5,809.0,24.4,99.9,13.65,19.25,30.78
177,2015,8,12,14,5,4,21.44,809.0,24.4,99.9,14.07,19.25,30.67
178,2015,8,12,14,5,6,21.44,809.0,24.4,99.9,14.09,19.25,30.76
179,2015,8,12,14,5,8,21.44,809.0,24.4,99.9,13.65,19.25,30.28
180,2015,8,12,14,5,10,21.5,809.0,24.4,99.9,14.49,19.25,30.76
