id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
256,2015,8,12,14,7,43,21.44,808.0,24.3,99.9,32.8,20.14,31.44
257,2015,8,12,14,7,45,21.44,807.0,24.4,99.9,12.23,19.51,32.55
258,2015,8,12,14,7,47,21.44,808.0,24.3,99.9,12.7,19.75,33.19
259,2015,8,12,14,7,49,21.44,808.0,24.3,99.9,12.49,19.59,31.7
260,2015,8,12,14,7,51,21.44,808.0,24.3,99.9,12.7,19.59,32.44
261,2015,8,12,14,7,53,21.44,808.0,24.3,99.9,14.19,19.72,32.14
262,2015,8,12,14,7,55,21.44,808.0,24.3,99.9,13.28,19.61,31.14
263,2015,8,12,14,7,57,21.44,808.0,24.3,99.9,13.7,19.61,31.91
264,2015,8,12,14,7,59,21.44,807.0,24.3,99.9,12.81,19.72,31.45
265,2015,8,12,14,8,1,21.44,808.0,24.3,99.9,15.07,19.59,31.01
266,2015,8,12,14,8,3,21.44,809.0,24.3,99.9,12.33,19.72,32.33
267,2015,8,12,14,8,5,21.5,807.0,24.4,99.9,12.35,19.62,31.88
268,2015,8,12,14,8,7,21.44,807.0,24.3,99.9,12.3,19.61,31.28
269,2015,8,12,14,8,9,21.5,807.0,24.3,99.9,12.33,19.61,31.77
270,2015,8,12,14,8,11,21.5,805.0,24.3,99.9,12.7,19.72,31.35
