id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
91,2015,8,12,14,2,12,21.12,812.0,24.5,99.9,5.25,20.41,34.29
92,2015,8,12,14,2,14,21.19,811.0,24.5,99.9,4.83,20.02,33.82
93,2015,8,12,14,2,16,21.12,814.0,24.6,99.9,4.97,19.87,34.25
94,2015,8,12,14,2,18,21.12,813.0,24.5,99.9,4.81,20.02,33.82
95,2015,8,12,14,2,20,21.19,811.0,24.6,99.9,4.83,20.03,34.3
96,2015,8,12,14,2,22,21.12,811.0,24.6,99.9,4.86,19.99,33.95
97,2015,8,12,14,2,24,21.12,813.0,24.6,99.9,4.92,19.99,33.9
98,2015,8,12,14,2,26,21.12,813.0,24.5,99.9,4.86,20.29,33.82
99,2015,8,12,14,2,28,21.19,812.0,24.5,99.9,4.88,19.88,33.82
100,2015,8,12,14,2,30,21.12,813.0,24.5,99.9,4.86,20.31,33.82
101,2015,8,12,14,2,32,21.12,811.0,24.5,99.9,4.88,19.99,34.26
102,2015,8,12,14,2,34,21.12,811.0,24.5,99.9,4.72,20.45,33.82
103,2015,8,12,14,2,36,21.12,810.0,24.5,99.9,4.3,20.41,34.24
104,2015,8,12,14,2,38,21.19,810.0,24.5,99.9,4.77,19.99,34.26
105,2015,8,12,14,2,40,21.19,812.0,24.5,99.9,4.3,20.5,34.24
