id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
181,2015,8,12,14,5,12,21.44,808.0,24.4,99.9,13.6,19.25,30.81
182,2015,8,12,14,5,14,21.44,810.0,24.4,99.9,13.7,19.25,30.86
183,2015,8,12,14,5,16,21.44,809.0,24.4,99.9,13.72,19.25,30.39
184,2015,8,12,14,5,18,21.44,810.0,24.4,99.9,14.19,19.25,30.83
185,2015,8,12,14,5,20,21.44,809.0,24.4,99.9,14.14,19.25,30.39
186,2015,8,12,14,5,22,21.44,809.0,24.4,99.9,14.56,19.25,30.83
187,2015,8,12,14,5,24,21.44,808.0,24.4,99.9,15.18,19.25,30.81
188,2015,8,12,14,5,26,21.5,809.0,24.4,99.9,13.65,19.28,30.71
189,2015,8,12,14,5,28,21.44,809.0,24.4,99.9,13.6,19.25,30.25
190,2015,8,12,14,5,30,21.44,810.0,24.4,99.9,14.02,19.25,30.76
191,2015,8,12,14,5,32,21.44,809.0,24.4,99.9,13.56,19.25,30.28
192,2015,8,12,14,5,34,21.44,809.0,24.4,99.9,13.97,19.25,30.28
193,2015,8,12,14,5,36,21.5,809.0,24.4,99.9,13.6,19.25,30.25
194,2015,8,12,14,5,38,21.44,809.0,24.4,99.9,13.55,19.25,30.25
195,2015,8,12,14,5,40,21.44,809.0,24.4,99.9,13.98,19.25,30.25
