id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
136,2015,8,12,14,3,42,21.12,811.0,24.5,99.9,4.72,19.99,33.71
137,2015,8,12,14,3,44,21.12,811.0,24.5,99.9,4.72,20.02,33.71
138,2015,8,12,14,3,46,21.19,810.0,24.5,99.9,4.72,20.02,33.68
139,2015,8,12,14,3,48,21.19,809.0,24.5,99.9,4.77,19.99,33.71
140,2015,8,12,14,3,50,21.19,812.0,24.5,99.9,4.41,20.02,33.68
141,2015,8,12,14,3,52,21.19,808.0,24.4,99.9,4.83,20.41,33.72
142,2015,8,12,14,3,54,21.12,811.0,24.4,99.9,4.83,19.98,33.76
143,2015,8,12,14,3,56,21.19,810.0,24.5,99.9,4.83,20.41,33.71
144,2015,8,12,14,3,58,21.12,810.0,24.4,99.9,4.54,19.98,33.71
145,2015,8,12,14,4,0,21.12,810.0,24.4,99.9,4.83,20.02,33.71
146,2015,8,12,14,4,2,21.12,810.0,24.4,99.9,4.88,20.02,33.67
147,2015,8,12,14,4,4,21.12,810.0,24.4,99.9,4.88,19.98,34.14
148,2015,8,12,14,4,6,21.19,810.0,24.4,99.9,4.88,19.98,34.13
149,2015,8,12,14,4,8,21.12,809.0,24.4,99.9,4.86,20.02,34.13
150,2015,8,12,14,4,10,21.19,809.0,24.4,99.9,4.97,19.98,33.65
