id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
106,2015,8,12,14,2,42,21.19,811.0,24.5,99.9,4.81,20.46,34.24
107,2015,8,12,14,2,44,21.12,808.0,24.5,99.9,4.76,20.41,34.24
108,2015,8,12,14,2,46,21.12,813.0,24.5,99.9,4.72,19.99,34.24
109,2015,8,12,14,2,48,21.12,810.0,24.5,99.9,4.81,20.41,34.19
110,2015,8,12,14,2,50,21.19,810.0,24.5,99.9,4.86,20.02,34.24
111,2015,8,12,14,2,52,21.19,812.0,24.5,99.9,4.91,20.41,34.24
112,2015,8,12,14,2,54,21.12,810.0,24.5,99.9,4.86,19.99,33.77
113,2015,8,12,14,2,56,21.19,811.0,24.5,99.9,4.83,20.41,33.77
114,2015,8,12,14,2,58,21.12,810.0,24.5,99.9,4.86,20.5,33.77
115,2015,8,12,14,3,0,21.12,811.0,24.5,99.9,5.3,20.45,34.19
116,2015,8,12,14,3,2,21.12,812.0,24.5,99.9,4.83,20.5,33.89
117,2015,8,12,14,3,4,21.19,812.0,24.5,99.9,4.88,20.02,34.19
118,2015,8,12,14,3,6,21.19,809.0,24.5,99.9,4.86,19.99,33.77
119,2015,8,12,14,3,8,21.12,812.0,24.5,99.9,4.91,20.02,33.77
120,2015,8,12,14,3,10,21.12,810.0,24.5,99.9,4.86,20.45,33.77
