id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
61,2015,8,12,14,1,12,21.12,814.0,24.7,99.9,4.51,19.58,33.99
62,2015,8,12,14,1,14,21.12,813.0,24.6,99.9,4.55,19.89,34.09
63,2015,8,12,14,1,16,21.12,815.0,24.7,99.9,4.55,19.45,33.99
64,2015,8,12,14,1,18,21.12,812.0,24.7,99.9,4.55,19.47,33.99
65,2015,8,12,14,1,20,21.12,814.0,24.6,99.9,4.41,19.57,34.53
66,2015,8,12,14,1,22,21.12,815.0,24.6,99.9,4.41,19.57,34.04
67,2015,8,12,14,1,24,21.12,812.0,24.6,99.9,4.83,19.99,33.98
68,2015,8,12,14,1,26,21.12,813.0,24.6,99.9,4.86,19.99,34.04
69,2015,8,12,14,1,28,21.12,813.0,24.6,99.9,4.41,19.61,34.04
70,2015,8,12,14,1,30,21.12,814.0,24.6,99.9,4.83,19.99,34.05
71,2015,8,12,14,1,32,21.12,814.0,24.6,99.9,4.41,20.03,34.35
72,2015,8,12,14,1,34,21.12,814.0,24.6,99.9,4.41,19.99,34.48
73,2015,8,12,14,1,36,21.12,812.0,24.6,99.9,4.83,19.99,34.37
74,2015,8,12,14,1,38,21.12,813.0,24.6,99.9,4.97,19.99,33.93
75,2015,8,12,14,1,40,21.12,812.0,24.6,99.9,4.97,19.99,34.35
