id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
76,2015,8,12,14,1,42,21.12,813.0,24.6,99.9,4.97,20.05,34.37
77,2015,8,12,14,1,44,21.12,813.0,24.6,99.9,4.97,19.99,34.0
78,2015,8,12,14,1,46,21.12,812.0,24.6,99.9,4.93,19.99,33.98
79,2015,8,12,14,1,48,21.12,812.0,24.6,99.9,4.93,20.42,33.9
80,2015,8,12,14,1,50,21.12,811.0,24.6,99.9,4.99,20.03,34.0
81,2015,8,12,14,1,52,21.12,812.0,24.6,99.9,5.02,19.99,33.9
82,2015,8,12,14,1,54,21.12,814.0,24.6,99.9,4.99,20.45,33.84
83,2015,8,12,14,1,56,21.19,811.0,24.6,99.9,4.51,20.03,34.42
84,2015,8,12,14,1,58,21.19,813.0,24.6,99.9,4.97,20.42,34.3
85,2015,8,12,14,2,0,21.19,813.0,24.6,99.9,5.02,19.99,34.32
86,2015,8,12,14,2,2,21.12,813.0,24.6,99.9,4.97,19.99,34.32
87,2015,8,12,14,2,4,21.12,812.0,24.6,99.9,4.55,19.99,34.41
88,2015,8,12,14,2,6,21.19,811.0,24.6,99.9,4.93,19.99,34.3
89,2015,8,12,14,2,8,21.19,814.0,24.6,99.9,4.93,20.42,34.3
90,2015,8,12,14,2,10,21.12,811.0,24.6,99.9,4.55,19.89,34.41
