id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
226,2015,8,12,14,6,42,21.44,810.0,24.4,99.9,14.25,19.25,30.76
227,2015,8,12,14,6,44,21.44,808.0,24.4,99.9,13.44,19.25,30.67
228,2015,8,12,14,6,46,21.44,809.0,24.4,99.9,13.39,19.25,30.71
229,2015,8,12,14,6,48,21.44,809.0,24.4,99.9,13.39,19.14,30.71
230,2015,8,12,14,6,50,21.44,808.0,24.4,99.9,13.39,19.14,30.67
231,2015,8,12,14,6,52,21.44,807.0,24.4,99.9,13.39,19.14,30.72
232,2015,8,12,14,6,54,21.44,809.0,24.4,99.9,13.39,19.25,30.25
233,2015,8,12,14,6,56,21.44,808.0,24.4,99.9,13.39,19.25,30.76
234,2015,8,12,14,6,58,21.44,809.0,24.4,99.9,13.39,19.25,30.71
235,2015,8,12,14,7,0,21.44,809.0,24.3,99.9,13.38,19.28,30.24
236,2015,8,12,14,7,2,21.44,809.0,24.3,99.9,12.91,19.24,30.72
237,2015,8,12,14,7,4,21.44,808.0,24.4,99.9,15.19,19.25,30.67
238,2015,8,12,14,7,7,21.44,809.0,24.3,99.9,13.38,19.24,30.24
239,2015,8,12,14,7,9,21.44,809.0,24.3,99.9,13.81,19.28,30.72
240,2015,8,12,14,7,11,21.44,808.0,24.3,99.9,13.81,19.24,30.7
