id,year,month,day,hour,minute,second,WaterTempC,SoilMoisture,AirTemp,AirHum,Dist1,Dist2,Dist3
211,2015,8,12,14,6,12,21.44,808.0,24.4,99.9,13.49,19.28,30.83
212,2015,8,12,14,6,14,21.44,809.0,24.4,99.9,13.86,19.25,30.81
213,2015,8,12,14,6,16,21.44,810.0,24.4,99.9,13.55,19.25,30.39
214,2015,8,12,14,6,18,21.44,809.0,24.4,99.9,13.12,19.14,30.83
215,2015,8,12,14,6,20,21.44,808.0,24.4,99.9,13.56,19.28,30.81
216,2015,8,12,14,6,22,21.44,808.0,24.4,99.9,13.55,19.25,30.83
217,2015,8,12,14,6,24,21.44,809.0,24.4,99.9,13.98,19.25,30.86
218,2015,8,12,14,6,26,21.44,809.0,24.4,99.9,13.56,19.25,30.86
219,2015,8,12,14,6,28,21.44,809.0,24.4,99.9,13.93,19.25,30.28
220,2015,8,12,14,6,30,21.44,809.0,24.4,99.9,13.41,19.25,30.72
221,2015,8,12,14,6,32,21.44,808.0,24.4,99.9,13.39,19.25,30.76
222,2015,8,12,14,6,34,21.44,808.0,24.4,99.9,13.86,19.28,30.28
223,2015,8,12,14,6,36,21.44,809.0,24.4,99.9,13.39,19.25,30.67
224,2015,8,12,14,6,38,21.44,808.0,24.3,99.9,13.44,19.24,30.66
225,2015,8,12,14,6,40,21.44,808.0,24.4,99.9,13.02,19.14,30.71
